x,y
0.000000, 0.200000
0.037500, 0.199721
0.075000, 0.199202
0.112500, 0.198485
0.150000, 0.197608
0.187500, 0.196611
0.225000, 0.195531
0.262500, 0.194406
0.300000, 0.193273
0.337500, 0.192167
0.375000, 0.191125
0.412500, 0.190180
0.450000, 0.189364
0.487500, 0.188710
0.525000, 0.188249
0.562500, 0.188011
0.600000, 0.188025
0.637500, 0.188318
0.675000, 0.188916
0.712500, 0.189844
0.750000, 0.191127
0.787500, 0.192785
0.825000, 0.194841
0.862500, 0.197313
0.900000, 0.200221
0.937500, 0.203580
0.975000, 0.207407
1.012500, 0.211714
1.050000, 0.216516
1.087500, 0.221822
1.125000, 0.227643
1.162500, 0.233987
1.200000, 0.240859
1.237500, 0.248265
1.275000, 0.256211
1.312500, 0.264696
1.350001, 0.273723
1.387501, 0.283291
1.425001, 0.293399
1.462501, 0.304043
1.500001, 0.315218
1.537501, 0.326920
1.575001, 0.339140
1.612501, 0.351871
1.650001, 0.365103
1.687501, 0.378826
1.725001, 0.393028
1.762501, 0.407695
1.800001, 0.422815
1.837501, 0.438371
1.875001, 0.454349
1.912501, 0.470731
1.950001, 0.487500
1.987501, 0.504637
2.025001, 0.522124
2.062501, 0.539939
2.100001, 0.558063
2.137501, 0.576475
2.175000, 0.595152
2.212500, 0.614073
2.250000, 0.633214
2.287500, 0.652553
2.325000, 0.672066
2.362500, 0.691730
2.400000, 0.711520
2.437500, 0.731413
2.475000, 0.751383
2.512500, 0.771407
2.549999, 0.791460
2.587499, 0.811516
2.624999, 0.831553
2.662499, 0.851545
2.699999, 0.871466
2.737499, 0.891294
2.774999, 0.911004
2.812499, 0.930572
2.849999, 0.949973
2.887499, 0.969184
2.924999, 0.988181
2.962498, 1.006941
2.999998, 1.025440
3.037498, 1.043657
3.074998, 1.061568
3.112498, 1.079150
3.149998, 1.096382
3.187498, 1.113241
3.224998, 1.129707
3.262498, 1.145757
3.299998, 1.161371
3.337497, 1.176528
3.374997, 1.191207
3.412497, 1.205388
3.449997, 1.219051
3.487497, 1.232176
3.524997, 1.244742
3.562497, 1.256732
3.599997, 1.268125
3.637497, 1.278902
3.674997, 1.289045
3.712497, 1.298535
3.749996, 1.307353
3.787496, 1.315481
3.824996, 1.322902
3.862496, 1.329596
3.899996, 1.335547
3.937496, 1.340736
3.974996, 1.345146
4.012496, 1.348760
4.049996, 1.351561
4.087496, 1.353532
4.124996, 1.354656
4.162496, 1.354916
4.199996, 1.354297
4.237495, 1.352783
4.274995, 1.350358
4.312495, 1.347007
4.349995, 1.342713
4.387495, 1.337464
4.424995, 1.331243
4.462495, 1.324039
4.499995, 1.315837
4.537495, 1.306624
4.574995, 1.296388
4.612494, 1.285118
4.649994, 1.272803
4.687494, 1.259433
4.724994, 1.244997
4.762494, 1.229489
4.799994, 1.212899
4.837494, 1.195222
4.874994, 1.176452
4.912494, 1.156585
4.949994, 1.135619
4.987494, 1.113550
5.024993, 1.090380
5.062493, 1.066109
5.099993, 1.040740
5.137493, 1.014278
5.174993, 0.986729
5.212493, 0.958100
5.249993, 0.928402
5.287493, 0.897647
5.324993, 0.865848
5.362493, 0.833021
5.399992, 0.799185
5.437492, 0.764358
5.474992, 0.728565
5.512492, 0.691829
5.549992, 0.654176
5.587492, 0.615637
5.624992, 0.576240
5.662492, 0.536021
5.699992, 0.495013
5.737492, 0.453255
5.774992, 0.410784
5.812491, 0.367643
5.849991, 0.323873
5.887491, 0.279519
5.924991, 0.234626
5.962491, 0.189242
5.999991, 0.143413
6.037491, 0.097189
6.074991, 0.050618
6.112491, 0.003752
6.149991, -0.043359
6.187490, -0.090665
6.224990, -0.138115
6.262490, -0.185660
6.299990, -0.233250
6.337490, -0.280836
6.374990, -0.328370
6.412490, -0.375805
6.449990, -0.423096
6.487490, -0.470198
6.524990, -0.517070
6.562490, -0.563669
6.599989, -0.609956
6.637489, -0.655895
6.674989, -0.701450
6.712489, -0.746588
6.749989, -0.791278
6.787489, -0.835490
6.824989, -0.879198
6.862489, -0.922378
6.899989, -0.965006
6.937489, -1.007062
6.974988, -1.048528
7.012488, -1.089387
7.049988, -1.129625
7.087488, -1.169229
7.124988, -1.208188
7.162488, -1.246493
7.199988, -1.284136
7.237488, -1.321111
7.274988, -1.357414
7.312488, -1.393040
7.349988, -1.427989
7.387487, -1.462258
7.424987, -1.495847
7.462487, -1.528757
7.499987, -1.560990
7.537487, -1.592547
7.574987, -1.623431
7.612487, -1.653646
7.649987, -1.683194
7.687487, -1.712080
7.724987, -1.740307
7.762486, -1.767880
7.799986, -1.794802
7.837486, -1.821079
7.874986, -1.846714
7.912486, -1.871711
7.949986, -1.896073
7.987486, -1.919805
8.024986, -1.942910
8.062487, -1.965390
8.099987, -1.987248
8.137487, -2.008486
8.174988, -2.029105
8.212488, -2.049107
8.249989, -2.068493
8.287489, -2.087261
8.324989, -2.105412
8.362490, -2.122944
8.399990, -2.139856
8.437490, -2.156144
8.474991, -2.171807
8.512491, -2.186840
8.549992, -2.201239
8.587492, -2.214999
8.624992, -2.228114
8.662493, -2.240577
8.699993, -2.252382
8.737494, -2.263520
8.774994, -2.273982
8.812494, -2.283761
8.849995, -2.292845
8.887495, -2.301224
8.924995, -2.308886
8.962496, -2.315820
8.999996, -2.322012
9.037497, -2.327449
9.074997, -2.332118
9.112497, -2.336002
9.149998, -2.339087
9.187498, -2.341357
9.224998, -2.342795
9.262499, -2.343382
9.299999, -2.343102
9.337500, -2.341936
9.375000, -2.339864
9.412500, -2.336867
9.450001, -2.332924
9.487501, -2.328014
9.525002, -2.322116
9.562502, -2.315208
9.600002, -2.307267
9.637503, -2.298272
9.675003, -2.288198
9.712503, -2.277022
9.750004, -2.264720
9.787504, -2.251269
9.825005, -2.236643
9.862505, -2.220818
9.900005, -2.203770
9.937506, -2.185474
9.975006, -2.165906
10.012506, -2.145041
10.050007, -2.122854
10.087507, -2.099323
10.125008, -2.074424
10.162508, -2.048133
10.200008, -2.020428
10.237509, -1.991288
10.275009, -1.960694
10.312510, -1.928624
10.350010, -1.895063
10.387510, -1.859992
10.425011, -1.823397
10.462511, -1.785266
10.500011, -1.745588
10.537512, -1.704354
10.575012, -1.661558
10.612513, -1.617199
10.650013, -1.571276
10.687513, -1.523793
10.725014, -1.474758
10.762514, -1.424181
10.800014, -1.372077
10.837515, -1.318467
10.875015, -1.263375
10.912516, -1.206829
10.950016, -1.148865
10.987516, -1.089520
11.025017, -1.028839
11.062517, -0.966873
11.100018, -0.903675
11.137518, -0.839307
11.175018, -0.773832
11.212519, -0.707322
11.250019, -0.639853
11.287519, -0.571503
11.325020, -0.502356
11.362520, -0.432500
11.400021, -0.362027
11.437521, -0.291028
11.475021, -0.219602
11.512522, -0.147846
11.550022, -0.075858
11.587523, -0.003737
11.625023, 0.068417
11.662523, 0.140507
11.700024, 0.212436
11.737524, 0.284111
11.775024, 0.355438
11.812525, 0.426332
11.850025, 0.496706
11.887526, 0.566481
11.925026, 0.635582
11.962526, 0.703938
12.000027, 0.771485
12.037527, 0.838162
