time,theta,omega
0.000000, 0.020000, 0.000000
1.560000, 0.360028, 0.542625
3.159998, 1.468329, 0.644613
4.719997, 1.912165, -0.197040
6.279995, 0.364356, -1.710178
7.839994, -2.168350, -1.277384
9.439993, 2.273397, -1.194121
10.999991, 0.525264, -0.753942
12.559990, 0.517289, 0.537316
14.119988, 1.125302, -0.047100
15.719987, -0.108349, -1.317633
17.280016, -2.012266, -0.967471
18.840052, 3.100286, -0.576026
20.440088, 2.604364, 0.021085
22.000124, -2.902833, 1.008270
23.560160, -0.436224, 1.844858
25.120195, 0.853025, -0.415648
26.720232, -1.077075, -1.357356
28.280268, -2.324299, -0.213690
29.840303, -1.380293, 1.522429
31.400339, 1.658153, 1.713489
33.000374, -2.582946, 1.090605
34.560410, -1.007434, 0.782213
36.120445, -0.640986, -0.223624
37.680481, -0.919758, 0.139172
39.280518, 0.258295, 1.174383
40.840553, 1.949964, 0.866346
42.400589, 2.923119, 0.378685
44.000626, 2.783676, -0.698376
45.560661, 0.217957, -2.370197
47.120697, -2.448235, -0.835034
48.680733, -2.498258, 0.780796
50.280769, 0.336472, 2.303570
51.840805, 2.742756, 0.795137
53.400841, 3.052966, -0.403393
54.960876, 1.042455, -2.174904
56.560913, -1.970739, -0.961577
58.120949, -1.786984, 1.161248
59.680984, 1.182995, 1.935306
61.281021, -3.030015, 0.861103
62.841057, -2.063412, 0.379553
64.401093, -1.869612, -0.047072
65.961128, -1.709392, 0.455259
67.561165, 0.106901, 1.635139
69.121201, 2.309965, 1.112316
70.681236, -2.299937, 1.153940
72.241272, -0.579686, 0.767911
73.841309, -0.539501, -0.515955
75.401344, -1.105838, 0.073446
76.961380, 0.097665, 1.299743
78.521416, 1.989283, 0.965037
80.121452, -3.110677, 0.553970
81.681488, -2.676605, -0.063643
83.241524, 2.689643, -1.169699
84.841560, -0.113414, -1.805157
86.401596, -0.988790, 0.724086
87.961632, 1.205740, 1.451861
89.521667, 2.603104, 0.374749
91.121704, 2.086426, -1.164625
92.681740, -0.987494, -2.108184
94.241776, 3.101549, -0.904018
95.801811, 2.122146, -0.369245
97.401848, 1.964800, 0.084660
98.961884, 1.877655, -0.400194
100.521919, 0.138581, -1.714239
102.081955, -2.264136, -1.208793
103.681992, 2.179014, -1.243451
105.242027, 0.381937, -0.723146
106.802063, 0.506067, 0.632905
108.402100, 1.201084, -0.060623
109.962135, -0.049472, -1.365133
111.522171, -2.028953, -1.004766
113.082207, 3.009961, -0.649728
114.682243, 2.293088, -0.196181
116.242279, 2.464680, 0.359808
117.802315, -3.129505, 0.413211
119.362350, -2.917169, -0.252640
120.962387, 1.818981, -1.787386
122.522423, -1.283115, -1.352156
124.082458, -1.359222, 1.142539
125.682495, 1.444638, 1.650634
127.242531, -3.093346, 0.753148
128.802414, -2.338420, 0.201069
130.362152, -2.534543, -0.399150
131.961884, 2.889616, -0.582625
133.521622, 2.182906, -0.251489
135.081360, 2.206787, 0.214573
136.641098, 2.452603, -0.075901
138.240829, 1.167603, -1.680347
139.800568, -1.863628, -1.621632
141.360306, 2.401420, -1.208937
142.960037, 0.601267, -0.774962
144.519775, 0.521994, 0.486230
146.079514, 1.078276, -0.063511
147.639252, -0.097861, -1.279809
149.238983, -2.008299, -0.943942
150.798721, -3.132565, -0.529739
152.358459, 2.791767, 0.144205
153.918198, -2.321637, 1.442773
155.517929, 0.745245, 1.616133
157.077667, 1.162146, -0.991881
158.637405, -1.342823, -1.559875
160.237137, -2.957550, -0.571581
161.796875, 3.119512, 0.374958
163.356613, -1.292686, 2.074735
164.916351, 1.750763, 1.104433
166.516083, 1.611522, -1.211178
168.075821, -1.317831, -1.829954
169.635559, 3.022117, -0.861523
171.235291, 2.006083, -0.402794
172.795029, 1.766376, 0.011660
174.354767, 1.533866, -0.508506
175.914505, -0.211537, -1.531172
177.514236, -2.301784, -1.030173
179.073975, 2.447242, -1.033258
180.633713, 0.883024, -0.768035
182.193451, 0.606183, 0.302553
183.793182, 0.969976, -0.138309
185.352921, -0.208646, -1.210035
186.912659, -1.958204, -0.895708
188.512390, -3.005313, -0.421367
190.072128, -3.033654, 0.500614
191.631866, -0.874618, 2.246537
193.191605, 2.049483, 0.963388
194.791336, 1.898931, -1.129088
196.351074, -1.089304, -2.000932
197.910812, 3.110402, -0.863772
199.510544, 2.183388, -0.304585
201.070282, 2.140616, 0.168748
202.630020, 2.264651, -0.200920
204.189758, 0.786442, -1.756139
205.789490, -2.112939, -1.438180
207.349228, 2.208141, -1.282617
208.908966, 0.369348, -0.740502
210.468704, 0.490861, 0.644023
212.068436, 1.207752, -0.048069
213.628174, -0.032127, -1.367041
215.187912, -2.022551, -1.011466
216.787643, 2.981262, -0.649875
218.347382, 2.270168, -0.214918
219.907120, 2.398700, 0.319561
221.466858, 2.965313, 0.277102
223.066589, 2.719412, -0.762494
224.626328, 0.054408, -2.375863
226.186066, -2.552085, -0.830763
227.745804, -2.711504, 0.633454
229.345535, -0.097765, 2.353432
230.905273, 2.498343, 0.811860
232.465012, 2.564764, -0.741792
234.064743, -0.216915, -2.327004
235.624481, -2.675202, -0.794313
237.184219, -2.905362, 0.510003
238.743958, -0.640203, 2.297034
240.343689, 2.228093, 0.860856
241.903427, 2.094858, -1.031805
243.463165, -0.867850, -2.118673
245.062897, -3.092000, -0.832594
246.622635, 2.432110, -0.154682
248.182373, 2.773763, 0.555653
249.742111, -2.172152, 1.120731
251.341843, -0.447590, 0.686715
252.901581, -0.547234, -0.582636
254.461319, -1.170520, 0.061114
256.021057, 0.050301, 1.335753
257.621399, 2.039266, 0.980249
259.181732, -3.037588, 0.616645
260.742065, -2.419729, 0.123634
262.342407, -2.816089, -0.592797
263.902740, 2.042329, -1.197391
265.463074, 0.302999, -0.657421
267.023407, 0.534903, 0.680408
268.623749, 1.253704, -0.066184
270.184082, -0.026371, -1.396568
271.744415, -2.047467, -1.024266
273.304749, 2.946725, -0.697181
274.905090, 2.093971, -0.320559
276.465424, 1.986051, 0.103317
278.025757, 1.936684, -0.368260
279.586090, 0.228795, -1.732259
281.186432, -2.290097, -1.228526
282.746765, 2.169510, -1.260078
284.307098, 0.354010, -0.722390
285.867432, 0.500143, 0.652639
287.467773, 1.218403, -0.051625
289.028107, -0.030187, -1.373885
290.588440, -2.028062, -1.014562
292.148773, 2.994037, -0.665311
293.749115, 2.232898, -0.237313
295.309448, 2.306892, 0.265899
296.869781, 2.704827, 0.088179
298.470123, 1.858958, -1.358529
300.030457, -1.297409, -1.973672
301.590790, 2.856540, -1.002887
303.151123, 1.530094, -0.662598
304.751465, 1.018093, -0.032422
306.311798, 0.867986, -0.365697
307.872131, -0.409100, -1.117395
309.432465, -1.970597, -0.802779
311.032806, -2.890458, -0.324148
312.593140, -2.633323, 0.806849
314.153473, 0.107384, 2.362813
315.713806, 2.649222, 0.831099
317.314148, 2.904271, -0.518874
318.874481, 0.624517, -2.300278
320.434814, -2.191648, -0.891424
321.995148, -2.087592, 1.019025
323.595490, 0.944263, 2.086221
325.155823, 3.093710, 0.844240
326.716156, -2.396206, 0.188042
328.276489, -2.656143, -0.475061
329.876831, 2.499943, -0.876251
331.437164, 1.134926, -0.706605
332.997498, 0.752604, 0.146583
334.597839, 0.895975, -0.227991
336.158173, -0.306827, -1.155638
337.718506, -1.955663, -0.844997
339.278839, -2.904035, -0.362149
340.879181, -2.716314, 0.748948
342.439514, -0.064758, 2.372515
343.999847, 2.539952, 0.825516
345.560181, 2.674339, -0.662466
347.160522, 0.012222, -2.350582
348.720856, -2.544154, -0.801462
350.281189, -2.638855, 0.696165
351.841522, -0.019791, 2.349771
353.441864, 2.589386, 0.790719
355.002197, 2.709978, -0.652929
356.562531, 0.164824, -2.353353
358.122864, -2.470051, -0.832055
359.723206, -2.520167, 0.787155
361.283539, 0.227697, 2.323737
362.843872, 2.689414, 0.807040
364.444214, 2.949013, -0.494164
366.004547, 0.731360, -2.275650
367.564880, -2.122539, -0.910988
369.125214, -1.985874, 1.072134
370.725555, 1.062641, 2.023605
372.285889, -3.126177, 0.852663
373.846222, -2.258129, 0.272292
375.406555, -2.299492, -0.253397
377.006897, -2.684158, -0.059129
378.567230, -1.808764, 1.381247
380.127563, 1.343466, 1.946405
381.687897, -2.815490, 1.028191
383.288239, -1.389396, 0.695673
384.848572, -0.898618, -0.012388
386.408905, -0.852901, 0.294868
387.969238, 0.355009, 1.109158
389.569580, 1.965648, 0.802566
391.129913, 2.850470, 0.308644
392.690247, 2.534977, -0.872396
394.250580, -0.294113, -2.336916
395.850922, -2.801196, -0.815757
397.411255, 3.076262, 0.290513
398.971588, -1.501088, 1.961386
400.571930, 1.625024, 1.134654
402.132263, 1.495714, -1.213884
403.692596, -1.374981, -1.761850
405.252930, 3.029819, -0.837484
406.853271, 2.055281, -0.372052
408.413605, 1.868594, 0.048737
409.973938, 1.704960, -0.461207
411.534271, -0.055369, -1.629672
413.134613, -2.319236, -1.109938
414.694946, 2.290997, -1.154413
416.255280, 0.575919, -0.760235
417.815613, 0.524202, 0.504646
419.415955, 1.102945, -0.082437
420.976288, -0.112182, -1.301721
422.536621, -1.998568, -0.960591
424.096954, 3.129786, -0.558995
425.697296, 2.687971, 0.077554
427.257629, -2.642206, 1.205311
428.817963, 0.127739, 1.821449
430.378296, 1.026428, -0.712655
431.978638, -1.240887, -1.454096
433.538971, -2.641873, -0.385844
435.099304, -2.216804, 1.064083
436.699646, 0.880392, 2.156316
438.259979, 3.103519, 0.871313
439.820312, -2.341214, 0.225345
441.380646, -2.505677, -0.376293
442.980988, 2.988460, -0.506585
444.541321, 2.495881, -0.043429
446.101654, 3.060453, 0.771712
447.661987, -1.274307, 1.634383
449.262329, 0.476694, 0.081339
450.822662, -0.772338, -1.157323
452.382996, -1.834496, -0.054636
453.943329, -0.548339, 1.638269
455.543671, 2.091002, 1.304412
457.104004, -2.451825, 1.093066
458.664337, -0.823579, 0.785359
460.224670, -0.574276, -0.342063
461.825012, -0.989851, 0.119696
463.385345, 0.187538, 1.225261
464.945679, 1.962613, 0.907914
466.546021, 3.030106, 0.439468
468.106354, 3.113641, -0.440319
469.666687, 1.103937, -2.162137
471.227020, -1.890187, -1.030879
472.827362, -1.722381, 1.193829
474.387695, 1.246621, 1.894847
475.948029, -3.040960, 0.866132
477.508362, -2.058707, 0.394231
479.108704, -1.843724, -0.038307
480.669037, -1.654598, 0.482913
482.229370, 0.116340, 1.605997
483.789703, 2.284090, 1.096066
485.390045, -2.317381, 1.126781
486.950378, -0.638279, 0.759174
488.510712, -0.541498, -0.461474
490.071045, -1.072783, 0.067846
491.671387, 0.147400, 1.282558
493.231720, 1.997832, 0.941705
494.792053, 3.117895, 0.525379
496.352386, -2.820664, -0.160498
497.952728, 2.174733, -1.547181
499.513062, -0.869449, -1.567446
501.073395, -1.211548, 1.027700
502.673737, 1.413081, 1.562145
504.234070, 3.018363, 0.621541
505.794403, -2.903009, -0.206127
507.354736, 1.987980, -1.671965
508.955078, -1.163815, -1.400985
510.515411, -1.280170, 1.134841
512.075684, 1.405953, 1.632683
513.634827, 3.121278, 0.718840
515.233948, -2.509357, 0.074377
516.793091, -3.042196, -0.751798
518.352234, 1.340155, -1.601791
519.951355, -0.429247, -0.128874
521.510498, 0.750434, 1.129001
523.069641, 1.788691, 0.041703
524.628784, 0.488234, -1.628898
526.227905, -2.102753, -1.277553
527.787048, 2.467939, -1.077305
529.346191, 0.858763, -0.784729
530.945312, 0.598847, 0.333145
532.504456, 0.978989, -0.123234
534.063599, -0.190468, -1.214857
535.622742, -1.953654, -0.903557
537.221863, -3.013713, -0.432756
538.781006, -3.076318, 0.464001
540.340149, -1.003078, 2.201873
541.939270, 2.005894, 0.951118
543.498413, 1.828862, -1.146326
545.057556, -1.146302, -1.960322
546.656677, 3.046916, -0.858863
548.215820, 2.099480, -0.359731
549.774963, 1.944263, 0.077130
551.334106, 1.849425, -0.401933
552.933228, 0.054757, -1.705748
554.492371, -2.297042, -1.182766
556.051514, 2.215700, -1.227347
557.650635, 0.390552, -0.707824
559.209778, 0.520123, 0.623276
560.768921, 1.191677, -0.043987
562.328064, -0.027189, -1.350351
563.927185, -2.043326, -0.993206
565.486328, 3.010725, -0.638323
567.045471, 2.331555, -0.183903
568.644592, 2.561714, 0.421373
570.203735, -2.842727, 0.623658
571.762878, -2.025054, 0.351666
573.322021, -1.848853, -0.051511
574.921143, -1.679330, 0.474855
576.480286, 0.094231, 1.621383
578.039429, 2.287962, 1.108366
579.638550, -2.291050, 1.146202
581.197693, -0.590455, 0.754348
582.756836, -0.532711, -0.493418
584.355957, -1.092975, 0.092081
585.915100, 0.127749, 1.297089
587.474243, 2.001824, 0.953762
589.033386, -3.136273, 0.551188
590.632507, -2.716778, -0.099903
592.191650, 2.546328, -1.277329
593.750793, -0.305351, -1.783112
595.349915, -1.039362, 0.855173
596.909058, 1.285966, 1.481524
598.468201, 2.738878, 0.446492
600.027344, 2.514519, -0.853621
601.626465, -0.390693, -2.312472
603.185608, -2.801311, -0.818978
604.744751, 3.061569, 0.274308
606.343872, -1.477609, 1.974442
607.903015, 1.585787, 1.169892
609.462158, 1.498430, -1.192353
611.021301, -1.356056, -1.764824
612.620422, 3.009763, -0.828230
614.179565, 2.062135, -0.377675
