time,theta,omega
3.159998, 1.468329, 0.644613
7.839994, -2.168350, -1.277384
12.559990, 0.517289, 0.537316
17.280016, -2.012266, -0.967471
22.000124, -2.902833, 1.008270
26.720232, -1.077075, -1.357356
31.400339, 1.658153, 1.713489
36.120445, -0.640986, -0.223624
40.840553, 1.949964, 0.866346
45.560661, 0.217957, -2.370197
50.280769, 0.336472, 2.303570
54.960876, 1.042455, -2.174904
59.680984, 1.182995, 1.935306
64.401093, -1.869612, -0.047072
69.121201, 2.309965, 1.112316
73.841309, -0.539501, -0.515955
78.521416, 1.989283, 0.965037
83.241524, 2.689643, -1.169699
87.961632, 1.205740, 1.451861
92.681740, -0.987494, -2.108184
97.401848, 1.964800, 0.084660
102.081955, -2.264136, -1.208793
106.802063, 0.506067, 0.632905
111.522171, -2.028953, -1.004766
116.242279, 2.464680, 0.359808
120.962387, 1.818981, -1.787386
125.682495, 1.444638, 1.650634
130.362152, -2.534543, -0.399150
135.081360, 2.206787, 0.214573
139.800568, -1.863628, -1.621632
144.519775, 0.521994, 0.486230
149.238983, -2.008299, -0.943942
153.918198, -2.321637, 1.442773
158.637405, -1.342823, -1.559875
163.356613, -1.292686, 2.074735
168.075821, -1.317831, -1.829954
172.795029, 1.766376, 0.011660
177.514236, -2.301784, -1.030173
182.193451, 0.606183, 0.302553
186.912659, -1.958204, -0.895708
191.631866, -0.874618, 2.246537
196.351074, -1.089304, -2.000932
201.070282, 2.140616, 0.168748
205.789490, -2.112939, -1.438180
210.468704, 0.490861, 0.644023
215.187912, -2.022551, -1.011466
219.907120, 2.398700, 0.319561
224.626328, 0.054408, -2.375863
229.345535, -0.097765, 2.353432
234.064743, -0.216915, -2.327004
238.743958, -0.640203, 2.297034
243.463165, -0.867850, -2.118673
248.182373, 2.773763, 0.555653
252.901581, -0.547234, -0.582636
257.621399, 2.039266, 0.980249
262.342407, -2.816089, -0.592797
267.023407, 0.534903, 0.680408
271.744415, -2.047467, -1.024266
276.465424, 1.986051, 0.103317
281.186432, -2.290097, -1.228526
285.867432, 0.500143, 0.652639
290.588440, -2.028062, -1.014562
295.309448, 2.306892, 0.265899
300.030457, -1.297409, -1.973672
304.751465, 1.018093, -0.032422
309.432465, -1.970597, -0.802779
314.153473, 0.107384, 2.362813
318.874481, 0.624517, -2.300278
323.595490, 0.944263, 2.086221
328.276489, -2.656143, -0.475061
332.997498, 0.752604, 0.146583
337.718506, -1.955663, -0.844997
342.439514, -0.064758, 2.372515
347.160522, 0.012222, -2.350582
351.841522, -0.019791, 2.349771
356.562531, 0.164824, -2.353353
361.283539, 0.227697, 2.323737
366.004547, 0.731360, -2.275650
370.725555, 1.062641, 2.023605
375.406555, -2.299492, -0.253397
380.127563, 1.343466, 1.946405
384.848572, -0.898618, -0.012388
389.569580, 1.965648, 0.802566
394.250580, -0.294113, -2.336916
398.971588, -1.501088, 1.961386
403.692596, -1.374981, -1.761850
408.413605, 1.868594, 0.048737
413.134613, -2.319236, -1.109938
417.815613, 0.524202, 0.504646
422.536621, -1.998568, -0.960591
427.257629, -2.642206, 1.205311
431.978638, -1.240887, -1.454096
436.699646, 0.880392, 2.156316
441.380646, -2.505677, -0.376293
446.101654, 3.060453, 0.771712
450.822662, -0.772338, -1.157323
455.543671, 2.091002, 1.304412
460.224670, -0.574276, -0.342063
464.945679, 1.962613, 0.907914
469.666687, 1.103937, -2.162137
474.387695, 1.246621, 1.894847
479.108704, -1.843724, -0.038307
483.789703, 2.284090, 1.096066
488.510712, -0.541498, -0.461474
493.231720, 1.997832, 0.941705
497.952728, 2.174733, -1.547181
502.673737, 1.413081, 1.562145
507.354736, 1.987980, -1.671965
512.075684, 1.405953, 1.632683
516.793091, -3.042196, -0.751798
