time,theta,omega
202.627914, 2.608686, 0.460200
207.345322, 2.322203, -1.522094
212.052734, 1.656277, 0.033275
216.770142, 1.158980, -1.924600
221.477554, 2.601132, 0.455321
226.194962, 2.293713, -1.535398
230.902374, 1.681350, 0.043012
235.619781, 1.150981, -1.930375
240.327194, 2.608844, 0.460126
245.044601, 2.322235, -1.521954
249.752014, 1.656026, 0.033005
254.469421, 1.158743, -1.924531
259.181671, 2.598066, 0.450575
263.896271, 2.290075, -1.535553
268.610870, 1.677135, 0.034564
273.315460, 1.176695, -1.924026
278.030060, 2.587207, 0.446222
282.744659, 2.257136, -1.551837
287.459259, 1.707838, 0.047581
292.163849, 1.170980, -1.930653
296.878448, 2.594764, 0.452251
301.593048, 2.288243, -1.538097
306.307648, 1.681834, 0.038773
311.022247, 1.160580, -1.924827
315.726837, 2.587523, 0.448820
320.441437, 2.265617, -1.549565
325.156036, 1.703421, 0.048293
329.870636, 1.157190, -1.929482
334.575226, 2.592679, 0.453315
339.289825, 2.288017, -1.539921
344.004425, 1.685126, 0.042442
348.719025, 1.164129, -1.925661
353.433624, 2.591857, 0.443688
358.138214, 2.272598, -1.548001
362.852814, 1.700334, 0.049510
367.567413, 1.162405, -1.928963
372.282013, 2.595361, 0.447133
376.986603, 2.288906, -1.541220
381.701202, 1.687431, 0.045728
386.415802, 1.167963, -1.926263
391.130402, 2.591473, 0.445837
395.845001, 2.263043, -1.546852
400.549591, 1.698177, 0.051073
405.264191, 1.167403, -1.928618
409.978790, 2.593810, 0.448530
414.693390, 2.275185, -1.542006
419.397980, 1.689003, 0.048726
424.112579, 1.171987, -1.926711
428.827179, 2.590909, 0.447876
433.541779, 2.268337, -1.546079
438.256378, 1.697004, 0.042726
442.960968, 1.172262, -1.928382
447.675568, 2.592402, 0.450030
452.390167, 2.277442, -1.542665
457.104767, 1.690495, 0.041421
461.809357, 1.176163, -1.927037
466.523956, 2.590190, 0.449817
471.238556, 2.273097, -1.545559
475.953156, 1.695894, 0.044700
480.667755, 1.157741, -1.927882
485.372345, 2.591092, 0.451595
490.086945, 2.280068, -1.543148
494.801544, 1.691268, 0.044117
499.516144, 1.161175, -1.926958
504.220734, 2.589372, 0.451697
508.935333, 2.277513, -1.545199
513.649902, 1.695099, 0.046813
