r,x,y,z,t
40.000000, -15.885056,-8.935526,53.167870,48.542091
40.000000, 19.123198,8.445235,60.571339,49.284370
146.800003, 27.960793,16.610023,174.095215,48.103508
146.800003, 37.297817,14.347130,201.751648,48.475243
146.800003, -26.919828,-17.098919,172.299240,48.697708
146.800003, -34.991535,-14.895239,194.360550,49.046432
146.800003, 28.216709,16.528347,174.715179,49.300041
146.800003, 38.361992,14.250070,205.154739,49.684570
173.399994, -41.801113,-15.426491,240.249527,48.101425
173.399994, 29.833460,18.423555,206.204849,48.293144
173.399994, 44.610428,14.959977,249.973282,48.688385
173.399994, -30.390129,-18.613287,211.641602,48.856995
173.399994, 38.127106,15.961068,228.092697,49.176163
173.399994, -30.953283,-17.755541,206.556458,49.406662
120.099998, 32.149666,13.508369,162.458420,48.301773
120.099998, -24.637827,-15.291359,141.409256,48.575912
120.099998, 25.954910,14.861031,144.808487,49.244598
120.099998, 36.001583,12.859822,174.079727,49.689430
93.400002, -22.986971,-13.218754,113.953789,48.039635
93.400002, -31.026058,-11.671962,135.975342,48.528305
93.400002, 19.686815,14.415947,106.489128,48.788162
93.400002, 23.121235,13.163709,113.998634,49.167931
93.400002, 31.213314,11.652897,136.505112,49.660469
66.699997, 23.326073,10.562510,92.570023,48.134354
66.699997, -18.517807,-11.588732,80.445366,48.535744
66.699997, -21.970594,-10.799192,89.123154,49.014000
66.699997, 20.640915,11.102866,85.783203,49.453674
173.500000, -30.134890,-18.511644,209.795914,48.079704
173.500000, 40.392662,15.584277,235.663132,48.421684
173.500000, -29.965670,-18.219000,205.248428,48.627190
173.500000, -41.899590,-15.326800,240.703842,48.987221
173.500000, 29.849222,18.457003,206.448349,49.177948
173.500000, 45.147625,14.988444,251.919922,49.580429
40.099998, -16.421963,-8.858173,54.477894,48.485954
40.099998, 17.321362,8.716292,56.537083,49.124489
40.099998, -15.533211,-9.001138,52.450676,49.696671
93.500000, 25.143465,12.737338,119.791832,48.405518
93.500000, -26.126062,-12.470504,122.482994,48.796692
93.500000, 24.256178,12.897118,117.424309,49.159599
93.500000, -28.430893,-12.039430,128.810776,49.590149
120.199997, -31.278467,-13.643600,159.992371,48.091904
120.199997, 25.480562,15.024388,143.628052,48.380325
120.199997, 33.428799,13.300457,166.315231,48.783600
120.199997, -23.830330,-15.627361,139.804886,49.037209
120.199997, -29.300129,-14.005129,154.048080,49.395851
120.199997, 28.260777,14.271194,151.288376,49.721268
146.899994, 28.219320,16.540495,174.812927,48.086746
146.899994, 38.338722,14.212883,205.184143,48.470779
146.899994, -26.747484,-17.253557,172.854004,48.680649
