time,theta,omega
202.630020, 1.925312, 0.123691
207.349228, 1.670042, -1.663976
212.068436, 1.926635, 0.110154
216.787643, 1.647290, -1.666294
221.466858, 1.923907, 0.136251
226.186066, 1.691239, -1.661681
230.905273, 1.925407, 0.122780
235.624481, 1.668505, -1.664138
240.343689, 1.926719, 0.109240
245.062897, 1.645751, -1.666448
249.742111, 1.924016, 0.135346
254.461319, 1.689707, -1.661851
259.181732, 1.924848, 0.120967
263.902740, 1.665926, -1.662941
268.623749, 1.922829, 0.102709
273.304749, 1.703504, -1.658501
278.025757, 1.920714, 0.125296
282.746765, 1.674792, -1.661677
287.467773, 1.922414, 0.108190
292.148773, 1.712658, -1.657465
296.869781, 1.920148, 0.130777
301.590790, 1.684006, -1.660690
306.311798, 1.921907, 0.113692
311.032806, 1.655296, -1.663694
315.713806, 1.919515, 0.136233
320.434814, 1.693203, -1.659679
325.155823, 1.921374, 0.119187
329.876831, 1.664509, -1.662758
334.597839, 1.922940, 0.102030
339.278839, 1.702398, -1.658646
343.999847, 1.920811, 0.124669
348.720856, 1.673724, -1.661793
353.441864, 1.922469, 0.107546
358.122864, 1.711589, -1.657588
362.843872, 1.920216, 0.130139
367.564880, 1.682935, -1.660805
372.285889, 1.921965, 0.113051
377.006897, 1.654217, -1.663803
381.687897, 1.919595, 0.135599
386.408905, 1.692151, -1.659773
391.129913, 1.921394, 0.118508
395.850922, 1.663393, -1.662867
400.571930, 1.922994, 0.101363
405.252930, 1.701287, -1.658772
409.973938, 1.920882, 0.124008
414.694946, 1.672611, -1.661911
419.415955, 1.922528, 0.106881
424.096954, 1.710477, -1.657718
428.817963, 1.920291, 0.129479
433.538971, 1.681813, -1.660931
438.259979, 1.922038, 0.112390
442.980988, 1.653106, -1.663915
447.661987, 1.919670, 0.134940
452.382996, 1.691020, -1.659923
457.104004, 1.921508, 0.117884
461.825012, 1.662320, -1.662983
466.546021, 1.923048, 0.100720
471.227020, 1.700215, -1.658894
475.948029, 1.920949, 0.123369
480.669037, 1.671537, -1.662024
485.390045, 1.922582, 0.106238
490.071045, 1.709405, -1.657842
494.792053, 1.920361, 0.128842
499.513062, 1.680745, -1.661044
504.234070, 1.922094, 0.111747
508.955078, 1.652032, -1.664022
513.634827, 1.920110, 0.134993
518.352234, 1.690362, -1.662702
523.069641, 1.929258, 0.127187
527.787048, 1.674093, -1.665343
532.504456, 1.930395, 0.117409
537.221863, 1.657432, -1.667064
541.939270, 1.931250, 0.107411
546.656677, 1.640637, -1.668735
551.334106, 1.928186, 0.137060
556.051514, 1.690659, -1.663506
560.768921, 1.929309, 0.127156
565.486328, 1.673907, -1.665337
570.203735, 1.930339, 0.117219
574.921143, 1.657141, -1.667088
579.638550, 1.931267, 0.107243
584.355957, 1.640356, -1.668761
589.033386, 1.928203, 0.136894
593.750793, 1.690378, -1.663537
598.468201, 1.929326, 0.126991
603.185608, 1.673627, -1.665366
607.903015, 1.930354, 0.117052
612.620422, 1.656860, -1.667118
617.337830, 1.931280, 0.107076
622.055237, 1.640079, -1.668787
626.732666, 1.928220, 0.136727
631.450073, 1.690097, -1.663570
636.167480, 1.929346, 0.126825
640.884888, 1.673353, -1.665394
645.602295, 1.930366, 0.116884
650.319702, 1.656582, -1.667144
655.037109, 1.931295, 0.106908
659.714539, 1.706549, -1.661700
664.431946, 1.928243, 0.136563
669.149353, 1.689817, -1.663602
673.866760, 1.929365, 0.126659
678.584167, 1.673069, -1.665425
683.301575, 1.930385, 0.116718
688.018982, 1.656299, -1.667174
692.736389, 1.931310, 0.106742
697.413818, 1.706273, -1.661733
702.131226, 1.928261, 0.136397
706.848633, 1.689537, -1.663632
711.566040, 1.929382, 0.126493
716.283447, 1.672790, -1.665454
721.000854, 1.930402, 0.116551
725.718262, 1.656019, -1.667202
730.435669, 1.931323, 0.106574
735.113098, 1.705992, -1.661764
739.830505, 1.928279, 0.136231
744.547913, 1.689255, -1.663664
749.265320, 1.929400, 0.126327
753.982727, 1.672508, -1.665485
758.700134, 1.930416, 0.116385
763.417542, 1.655738, -1.667230
768.134949, 1.931339, 0.106405
772.812378, 1.705694, -1.661795
777.529785, 1.928295, 0.136049
782.247192, 1.688950, -1.663698
786.964600, 1.929419, 0.126145
791.682007, 1.672200, -1.665518
796.399414, 1.930438, 0.116204
801.116821, 1.655432, -1.667262
805.834229, 1.931353, 0.106225
810.511658, 1.705406, -1.661832
815.229065, 1.928323, 0.135886
819.946472, 1.688672, -1.663727
824.663879, 1.929436, 0.125979
829.381287, 1.671920, -1.665549
834.098694, 1.930451, 0.116036
838.816101, 1.655152, -1.667291
843.533508, 1.931365, 0.106057
848.210938, 1.705127, -1.661864
852.928345, 1.928340, 0.135720
857.645752, 1.688394, -1.663758
862.363159, 1.929451, 0.125813
867.080566, 1.671640, -1.665577
871.797974, 1.930468, 0.115870
876.515381, 1.654873, -1.667319
881.232788, 1.931381, 0.105889
885.910217, 1.704851, -1.661894
890.627625, 1.928355, 0.135553
895.345032, 1.688112, -1.663790
900.062439, 1.929472, 0.125646
904.779846, 1.671358, -1.665609
909.497253, 1.930485, 0.115705
914.214661, 1.654592, -1.667346
918.932068, 1.931396, 0.105722
923.609497, 1.704564, -1.661930
928.326904, 1.928382, 0.135390
933.044312, 1.687834, -1.663820
937.761719, 1.929488, 0.125481
942.479126, 1.671081, -1.665636
947.196533, 1.930499, 0.115536
951.913940, 1.654306, -1.667377
956.631348, 1.931413, 0.105556
961.308777, 1.704287, -1.661962
966.026184, 1.928398, 0.135222
970.743591, 1.687549, -1.663853
975.460999, 1.929509, 0.125315
980.178406, 1.670802, -1.665665
984.895813, 1.930513, 0.115370
989.613220, 1.654027, -1.667405
994.330627, 1.931425, 0.105387
999.008057, 1.704008, -1.661993
1003.725464, 1.928417, 0.135058
1008.442871, 1.687270, -1.663883
1013.160278, 1.929526, 0.125148
1017.877686, 1.670517, -1.665697
1022.595093, 1.930532, 0.115204
1027.317505, 1.656885, -1.663168
1032.002075, 1.914833, 0.130845
1036.726685, 1.686402, -1.657077
1041.451294, 1.913639, 0.105162
1046.135864, 1.711799, -1.653928
1050.860474, 1.912323, 0.120672
1055.585083, 1.671246, -1.658403
1060.269653, 1.910665, 0.136116
1064.994263, 1.697128, -1.655619
1069.718872, 1.913204, 0.111895
1074.443481, 1.656562, -1.659902
1079.128052, 1.911652, 0.127379
1083.852661, 1.682459, -1.657223
1088.577271, 1.913981, 0.103081
1093.261841, 1.708318, -1.654356
1097.986450, 1.912563, 0.118613
1102.711060, 1.667782, -1.658765
1107.395630, 1.910906, 0.134059
1112.120239, 1.693663, -1.656003
1116.844849, 1.913396, 0.109819
1121.529419, 1.719507, -1.653060
1126.254028, 1.911873, 0.125313
1130.978638, 1.678994, -1.657591
1135.703247, 1.914151, 0.100995
1140.387817, 1.704863, -1.654749
1145.112427, 1.912766, 0.116541
1149.837036, 1.664316, -1.659120
1154.521606, 1.911140, 0.131996
1159.246216, 1.690209, -1.656381
1163.970825, 1.913577, 0.107739
1168.655396, 1.716049, -1.653465
1173.380005, 1.912095, 0.123246
1178.104614, 1.675537, -1.657956
1182.829224, 1.914317, 0.098909
1187.513794, 1.701402, -1.655142
1192.238403, 1.912967, 0.114466
1196.963013, 1.660855, -1.659470
1201.647583, 1.911368, 0.129933
1206.372192, 1.686743, -1.656760
1211.096802, 1.913764, 0.105658
1215.781372, 1.712594, -1.653866
1220.505981, 1.912307, 0.121177
1225.230591, 1.672075, -1.658320
1229.915161, 1.910604, 0.136605
1234.639771, 1.697945, -1.655527
1239.364380, 1.913161, 0.112389
1244.088989, 1.657387, -1.659821
1248.773560, 1.911598, 0.127870
1253.498169, 1.683285, -1.657131
1258.222778, 1.913935, 0.103574
1262.907349, 1.709141, -1.654261
1267.631958, 1.912513, 0.119106
1272.356567, 1.668609, -1.658677
1277.041138, 1.910846, 0.134546
1281.765747, 1.694484, -1.655912
1286.490356, 1.913354, 0.110314
1291.174927, 1.720329, -1.652965
1295.899536, 1.911818, 0.125802
1300.624146, 1.679820, -1.657503
1305.348755, 1.914110, 0.101491
1310.033325, 1.705683, -1.654657
1314.757935, 1.912719, 0.117032
1319.482544, 1.665142, -1.659035
1324.167114, 1.911083, 0.132485
1328.891724, 1.691026, -1.656293
1333.616333, 1.913536, 0.108232
1338.300903, 1.716870, -1.653369
1343.025513, 1.912041, 0.123736
1347.750122, 1.676357, -1.657871
1352.474731, 1.914277, 0.099404
1357.159302, 1.702224, -1.655047
1361.883911, 1.912921, 0.114958
1366.608521, 1.661673, -1.659390
1371.293091, 1.911316, 0.130425
1376.017700, 1.687567, -1.656670
1380.742310, 1.913717, 0.106151
1385.426880, 1.713413, -1.653771
1390.151489, 1.912259, 0.121670
1394.876099, 1.672894, -1.658234
1399.560669, 1.910547, 0.137094
1404.285278, 1.698766, -1.655436
1409.009888, 1.913116, 0.112884
1413.734497, 1.658209, -1.659737
1418.419067, 1.911545, 0.128360
1423.143677, 1.684107, -1.657043
1427.868286, 1.913895, 0.104070
1432.552856, 1.709960, -1.654169
1437.277466, 1.912466, 0.119597
1442.002075, 1.669426, -1.658596
1446.686646, 1.910791, 0.135036
1451.411255, 1.695312, -1.655820
1456.135864, 1.913303, 0.110804
1460.860474, 1.654742, -1.660083
1465.545044, 1.911769, 0.126294
1470.269653, 1.680640, -1.657417
1474.994263, 1.914070, 0.101986
1479.678833, 1.706507, -1.654561
1484.403442, 1.912668, 0.117524
1489.128052, 1.665966, -1.658951
1493.812622, 1.911024, 0.132975
1498.537231, 1.691845, -1.656202
1503.261841, 1.913496, 0.108727
1507.946411, 1.717692, -1.653271
1512.671021, 1.911990, 0.124228
1517.395630, 1.677177, -1.657784
1522.120239, 1.914240, 0.099900
1526.804810, 1.703045, -1.654956
1531.529419, 1.912877, 0.115453
1536.254028, 1.662496, -1.659300
1540.938599, 1.911233, 0.130875
1545.663208, 1.688334, -1.656582
1550.387817, 1.913678, 0.106616
1555.072388, 1.714187, -1.653682
1559.796997, 1.912206, 0.122129
1564.521606, 1.673663, -1.658153
1569.206177, 1.910496, 0.137552
1573.930786, 1.699537, -1.655351
1578.655396, 1.913074, 0.113347
1583.380005, 1.658982, -1.659659
1588.064575, 1.911497, 0.128819
1592.789185, 1.684877, -1.656962
1597.513794, 1.913855, 0.104534
1602.198364, 1.710730, -1.654081
1606.922974, 1.912418, 0.120057
1611.647583, 1.670197, -1.658517
1616.332153, 1.910741, 0.135496
1621.056763, 1.696079, -1.655736
1625.781372, 1.913264, 0.111267
1630.505981, 1.655516, -1.660007
1635.190552, 1.911721, 0.126755
1639.915161, 1.681411, -1.657336
1644.639771, 1.914034, 0.102450
1649.324341, 1.707275, -1.654474
1654.048950, 1.912624, 0.117987
1658.773560, 1.666739, -1.658871
1663.458130, 1.910972, 0.133434
1668.182739, 1.692621, -1.656114
1672.907349, 1.913449, 0.109190
1677.591919, 1.718462, -1.653183
1682.316528, 1.911940, 0.124689
1687.041138, 1.677948, -1.657702
1691.765747, 1.914202, 0.100366
1696.450317, 1.703817, -1.654870
1701.174927, 1.912829, 0.115915
1705.899536, 1.663272, -1.659224
1710.584106, 1.911210, 0.131371
1715.308716, 1.689157, -1.656498
1720.033325, 1.913639, 0.107111
1724.717896, 1.715007, -1.653586
1729.442505, 1.912155, 0.122619
1734.167114, 1.674485, -1.658069
1738.851685, 1.910437, 0.138043
1743.576294, 1.700358, -1.655259
1748.300903, 1.913026, 0.113837
1753.025513, 1.659804, -1.659579
1757.710083, 1.911443, 0.129311
1762.434692, 1.685696, -1.656875
1767.159302, 1.913816, 0.105028
1771.843872, 1.711554, -1.653983
1776.568481, 1.912363, 0.120550
1781.293091, 1.671021, -1.658431
1785.977661, 1.910681, 0.135985
1790.702271, 1.696900, -1.655644
1795.426880, 1.913217, 0.111763
1800.151489, 1.656340, -1.659924
1804.836060, 1.911665, 0.127246
1809.560669, 1.682235, -1.657244
1814.285278, 1.913991, 0.102945
1818.969849, 1.708099, -1.654381
1823.694458, 1.912574, 0.118478
1828.419067, 1.667558, -1.658786
1833.103638, 1.910919, 0.133923
1837.828247, 1.693440, -1.656028
1842.552856, 1.913408, 0.109685
1847.237427, 1.719284, -1.653086
1851.962036, 1.911886, 0.125177
1856.686646, 1.678777, -1.657614
1861.411255, 1.914156, 0.100860
1866.095825, 1.704635, -1.654776
1870.820435, 1.912779, 0.116405
1875.545044, 1.664095, -1.659142
1880.229614, 1.911155, 0.131863
1884.954224, 1.689980, -1.656408
1889.678833, 1.913592, 0.107603
1894.363403, 1.715828, -1.653488
1899.088013, 1.912107, 0.123112
1903.812622, 1.675310, -1.657982
1908.537231, 1.914326, 0.098772
1913.221802, 1.701182, -1.655163
1917.946411, 1.912979, 0.114332
1922.671021, 1.660631, -1.659494
1927.355591, 1.911383, 0.129800
1932.080200, 1.686521, -1.656781
1936.804810, 1.913772, 0.105523
1941.489380, 1.712373, -1.653891
1946.213989, 1.912317, 0.121042
1950.938599, 1.671843, -1.658342
1955.623169, 1.910622, 0.136471
1960.347778, 1.697722, -1.655553
1965.072388, 1.913171, 0.112255
1969.796997, 1.657160, -1.659840
1974.481567, 1.911612, 0.127734
1979.206177, 1.683056, -1.657158
1983.930786, 1.913951, 0.103441
1988.615356, 1.708914, -1.654290
1993.339966, 1.912533, 0.118971
1998.064575, 1.668379, -1.658705
2002.749146, 1.910866, 0.134415
2007.473755, 1.694266, -1.655937
2012.198364, 1.913359, 0.110175
2016.882935, 1.720101, -1.652989
2021.607544, 1.911837, 0.125671
2026.332153, 1.679594, -1.657530
2031.056763, 1.914124, 0.101355
2035.741333, 1.705461, -1.654681
2040.465942, 1.912733, 0.116899
2045.190552, 1.664916, -1.659060
2049.875000, 1.911195, 0.132468
2054.599609, 1.690984, -1.656319
2059.324219, 1.913562, 0.108228
2064.008789, 1.716852, -1.653371
2068.733398, 1.912040, 0.123725
2073.458008, 1.676338, -1.657872
2078.182617, 1.914277, 0.099388
2082.867188, 1.702204, -1.655048
2087.591797, 1.912920, 0.114946
2092.316406, 1.661653, -1.659391
2097.000977, 1.911320, 0.130412
2101.725586, 1.687541, -1.656673
2106.450195, 1.913722, 0.106140
2111.134766, 1.713399, -1.653772
2115.859375, 1.912252, 0.121654
2120.583984, 1.672870, -1.658234
2125.268555, 1.910550, 0.137079
2129.993164, 1.698745, -1.655439
2134.717773, 1.913114, 0.112870
2139.442383, 1.658186, -1.659739
2144.126953, 1.911549, 0.128346
2148.851562, 1.684083, -1.657048
2153.576172, 1.913894, 0.104057
2158.260742, 1.709937, -1.654172
2162.985352, 1.912467, 0.119584
2167.709961, 1.669410, -1.658596
2172.394531, 1.910789, 0.135023
2177.119141, 1.695286, -1.655824
2181.843750, 1.913308, 0.110791
2186.568359, 1.654724, -1.660085
2191.252930, 1.911769, 0.126282
2195.977539, 1.680620, -1.657419
2200.702148, 1.914071, 0.101970
2205.386719, 1.706478, -1.654565
2210.111328, 1.912673, 0.117513
2214.835938, 1.665944, -1.658954
2219.520508, 1.911030, 0.132963
2224.245117, 1.691827, -1.656203
2228.969727, 1.913492, 0.108714
2233.654297, 1.717668, -1.653277
2238.378906, 1.911991, 0.124216
2243.103516, 1.677159, -1.657784
2247.828125, 1.914236, 0.099886
2252.512695, 1.703021, -1.654960
2257.237305, 1.912874, 0.115439
2261.961914, 1.662475, -1.659306
2266.646484, 1.911265, 0.130900
2271.371094, 1.688362, -1.656586
2276.095703, 1.913678, 0.106634
2280.780273, 1.714215, -1.653678
2285.504883, 1.912205, 0.122144
2290.229492, 1.673692, -1.658152
2294.914062, 1.910492, 0.137570
2299.638672, 1.699567, -1.655347
2304.363281, 1.913067, 0.113360
2309.087891, 1.659012, -1.659658
2313.772461, 1.911495, 0.128838
2318.497070, 1.684900, -1.656961
2323.221680, 1.913860, 0.104551
2327.906250, 1.710763, -1.654074
2332.630859, 1.912412, 0.120075
2337.355469, 1.670229, -1.658512
2342.040039, 1.910736, 0.135512
2346.764648, 1.696106, -1.655731
2351.489258, 1.913262, 0.111287
2356.213867, 1.655544, -1.660003
2360.898438, 1.911718, 0.126773
2365.623047, 1.681444, -1.657327
2370.347656, 1.914026, 0.102467
2375.032227, 1.707304, -1.654473
2379.756836, 1.912624, 0.118005
2384.481445, 1.666765, -1.658867
2389.166016, 1.910972, 0.133450
2393.890625, 1.692647, -1.656114
2398.615234, 1.913451, 0.109209
2403.299805, 1.718489, -1.653180
2408.024414, 1.911938, 0.124704
2412.749023, 1.677982, -1.657698
2417.473633, 1.914199, 0.100382
2422.158203, 1.703843, -1.654866
2426.882812, 1.912828, 0.115930
2431.607422, 1.663298, -1.659224
2436.291992, 1.911209, 0.131390
2441.016602, 1.689183, -1.656496
2445.741211, 1.913639, 0.107127
2450.425781, 1.715034, -1.653582
2455.150391, 1.912157, 0.122638
2459.875000, 1.674517, -1.658065
2464.559570, 1.910433, 0.138059
2469.284180, 1.700391, -1.655252
2474.008789, 1.913025, 0.113857
2478.733398, 1.659834, -1.659575
2483.417969, 1.911436, 0.129327
2488.142578, 1.685724, -1.656869
2492.867188, 1.913814, 0.105047
2497.551758, 1.711578, -1.653984
2502.276367, 1.912367, 0.120569
2507.000977, 1.671052, -1.658424
2511.685547, 1.910676, 0.135998
2516.410156, 1.696929, -1.655641
2521.134766, 1.913217, 0.111780
2525.859375, 1.656367, -1.659920
2530.543945, 1.911667, 0.127261
2535.268555, 1.682262, -1.657244
2539.993164, 1.913991, 0.102964
2544.677734, 1.708127, -1.654378
2549.402344, 1.912573, 0.118494
2554.126953, 1.667589, -1.658784
2558.811523, 1.910915, 0.133941
2563.536133, 1.693474, -1.656023
2568.260742, 1.913403, 0.109699
2572.945312, 1.719311, -1.653080
2577.669922, 1.911882, 0.125196
2582.394531, 1.678802, -1.657613
2587.119141, 1.914157, 0.100876
2591.803711, 1.704660, -1.654773
2596.528320, 1.912781, 0.116425
2601.252930, 1.664121, -1.659140
2605.937500, 1.911153, 0.131881
2610.662109, 1.690007, -1.656403
2615.386719, 1.913593, 0.107623
2620.071289, 1.715853, -1.653489
2624.795898, 1.912106, 0.123130
2629.520508, 1.675339, -1.657977
2634.245117, 1.914327, 0.098791
2638.929688, 1.701206, -1.655164
2643.654297, 1.912979, 0.114350
2648.378906, 1.660656, -1.659490
2653.063477, 1.911388, 0.129816
2657.788086, 1.686548, -1.656782
2662.512695, 1.913771, 0.105540
2667.197266, 1.712401, -1.653889
2671.921875, 1.912316, 0.121058
2676.646484, 1.671873, -1.658341
2681.331055, 1.910619, 0.136490
2686.055664, 1.697751, -1.655549
2690.780273, 1.913171, 0.112271
2695.504883, 1.657191, -1.659840
2700.189453, 1.911610, 0.127754
2704.914062, 1.683085, -1.657155
2709.638672, 1.913949, 0.103456
2714.323242, 1.708943, -1.654284
2719.047852, 1.912530, 0.118990
2723.772461, 1.668414, -1.658700
2728.457031, 1.910859, 0.134430
2733.181641, 1.694289, -1.655932
2737.906250, 1.913364, 0.110196
2742.590820, 1.720131, -1.652988
