x,y,t
-0.170803,-0.214517,0.000000
-0.165386,-0.209288,0.010000
-0.159969,-0.204060,0.020000
-0.154552,-0.198832,0.030000
-0.149134,-0.193604,0.040000
-0.143717,-0.188376,0.050000
-0.138300,-0.183148,0.060000
-0.132883,-0.177920,0.070000
-0.127466,-0.172692,0.080000
-0.122049,-0.167464,0.090000
-0.116632,-0.162236,0.100000
-0.111215,-0.157008,0.110000
-0.105798,-0.151780,0.120000
-0.100381,-0.146552,0.130000
-0.094963,-0.141324,0.140000
-0.089546,-0.136095,0.150000
-0.084129,-0.130867,0.160000
-0.078712,-0.125639,0.170000
-0.073295,-0.120411,0.180000
-0.067878,-0.115183,0.190000
-0.062461,-0.109955,0.200000
-0.057044,-0.104727,0.210000
-0.051627,-0.099499,0.220000
-0.046210,-0.094271,0.230000
-0.040792,-0.089043,0.240000
-0.035375,-0.083815,0.250000
-0.029958,-0.078587,0.260000
-0.024541,-0.073359,0.270000
-0.019124,-0.068130,0.280000
-0.013707,-0.062902,0.290000
-0.008290,-0.057674,0.300000
-0.002873,-0.052446,0.310000
0.002544,-0.047218,0.320000
0.007961,-0.041990,0.330000
0.013379,-0.036762,0.340000
0.018796,-0.031534,0.350000
0.024213,-0.026306,0.360000
0.029630,-0.021078,0.370000
0.035047,-0.015850,0.380000
0.040464,-0.010622,0.390000
0.045881,-0.005394,0.400000
0.051298,-0.000165,0.410000
0.056715,0.005063,0.420000
0.062133,0.010291,0.430000
0.067550,0.015519,0.440000
0.072967,0.020747,0.450000
0.078384,0.025975,0.460000
0.083801,0.031203,0.470000
0.089218,0.036431,0.480000
0.094635,0.041659,0.490000
0.100052,0.046887,0.500000
0.105469,0.052115,0.510000
0.110886,0.057343,0.520000
0.116304,0.062571,0.530000
0.121721,0.067800,0.540000
0.127138,0.073028,0.550000
0.132555,0.078256,0.560000
0.137972,0.083484,0.570000
0.143389,0.088712,0.580000
0.148806,0.093940,0.590000
0.154223,0.099168,0.600000
0.159640,0.104396,0.610000
0.165057,0.109624,0.620000
0.170475,0.114852,0.630000
0.175892,0.120080,0.640000
0.181309,0.125308,0.650000
0.186726,0.130536,0.660000
0.192143,0.135765,0.670000
0.197560,0.140993,0.680000
0.202977,0.146221,0.690000
0.208394,0.151449,0.700000
0.213811,0.156677,0.710000
0.219229,0.161905,0.720000
0.224646,0.167133,0.730000
0.230063,0.172361,0.740000
0.235480,0.177589,0.750000
0.240897,0.182817,0.760000
0.246314,0.188045,0.770000
0.251731,0.193273,0.780000
0.257148,0.198501,0.790000
0.262565,0.203730,0.800000
0.267983,0.208958,0.810000
0.273400,0.214186,0.820000
0.278817,0.219414,0.830000
0.284234,0.224642,0.839999
0.289651,0.229870,0.849999
0.295068,0.235098,0.859999
0.300485,0.240326,0.869999
0.305902,0.245554,0.879999
0.311319,0.250782,0.889999
0.316737,0.256010,0.899999
0.322154,0.261238,0.909999
0.327571,0.266466,0.919999
0.332988,0.271694,0.929999
0.338405,0.276923,0.939999
0.343822,0.282151,0.949999
0.349239,0.287379,0.959999
0.354656,0.292607,0.969999
0.360073,0.297835,0.979999
0.365490,0.303063,0.989999
0.370908,0.308291,0.999999
0.376325,0.313519,1.009999
0.381742,0.318747,1.019999
0.387159,0.323975,1.029999
0.392576,0.329203,1.039999
0.397993,0.334431,1.049999
0.403410,0.339659,1.059999
0.408827,0.344887,1.069999
0.414244,0.350116,1.079999
0.419662,0.355344,1.089999
0.425079,0.360572,1.099999
0.430496,0.365800,1.109999
0.435913,0.371028,1.119999
0.441330,0.376256,1.129999
0.446747,0.381484,1.139999
0.452164,0.386712,1.149999
0.457581,0.391940,1.159999
0.462998,0.397168,1.169999
0.468416,0.402396,1.179999
0.473833,0.407624,1.189999
0.479250,0.412852,1.199999
0.484667,0.418080,1.209999
0.490084,0.423309,1.219999
0.495501,0.428537,1.229999
0.500918,0.433765,1.239999
0.506335,0.438993,1.249999
0.511752,0.444221,1.259999
0.517170,0.449449,1.269999
0.522587,0.454677,1.279999
0.528004,0.459905,1.289999
0.533421,0.465133,1.299999
0.538838,0.470361,1.309999
0.544255,0.475589,1.319999
0.549672,0.480817,1.329999
0.555089,0.486045,1.339999
0.560506,0.491273,1.349999
0.565924,0.496502,1.359999
0.571341,0.501730,1.369999
0.576758,0.506958,1.379999
0.582175,0.512186,1.389999
0.587592,0.517414,1.399999
0.593009,0.522642,1.409999
0.598426,0.527870,1.419999
0.603843,0.533098,1.429999
0.609260,0.538326,1.439999
0.614677,0.543554,1.449999
0.620095,0.548783,1.459999
0.625512,0.554011,1.469999
0.630929,0.559239,1.479999
0.636346,0.564467,1.489999
0.641763,0.569695,1.499999
0.647180,0.574923,1.509999
0.652597,0.580151,1.519999
0.658014,0.585379,1.529999
0.663431,0.590607,1.539999
0.668849,0.595836,1.549999
0.674266,0.601064,1.559999
0.679683,0.606292,1.569999
0.685100,0.611520,1.579999
0.690517,0.616748,1.589999
0.695934,0.621976,1.599999
0.701351,0.627204,1.609999
