x,y,t
-0.695275,0.624695,0.000000
-0.695275,0.626010,0.010000
-0.695275,0.627326,0.020000
-0.695275,0.628641,0.030000
-0.695275,0.629956,0.040000
-0.695275,0.631272,0.050000
-0.695275,0.632587,0.060000
-0.695274,0.633902,0.070000
-0.695274,0.635218,0.080000
-0.695274,0.636533,0.090000
-0.695274,0.637848,0.100000
-0.695274,0.639164,0.110000
-0.695274,0.640479,0.120000
-0.695274,0.641795,0.130000
-0.695274,0.643110,0.140000
-0.695274,0.644425,0.150000
-0.695274,0.645741,0.160000
-0.695274,0.647056,0.170000
-0.695274,0.648371,0.180000
-0.695274,0.649687,0.190000
-0.695274,0.651002,0.200000
-0.695274,0.652317,0.210000
-0.695274,0.653633,0.220000
-0.695274,0.654948,0.230000
-0.695273,0.656263,0.240000
-0.695273,0.657579,0.250000
-0.695273,0.658894,0.260000
-0.695273,0.660209,0.270000
-0.695273,0.661525,0.280000
-0.695273,0.662840,0.290000
-0.695273,0.664156,0.300000
-0.695273,0.665471,0.310000
-0.695273,0.666786,0.320000
-0.695273,0.668102,0.330000
-0.695273,0.669417,0.340000
-0.695273,0.670732,0.350000
-0.695273,0.672048,0.360000
-0.695273,0.673363,0.370000
-0.695273,0.674678,0.380000
-0.695273,0.675994,0.390000
-0.695273,0.677309,0.400000
-0.695272,0.678624,0.410000
-0.695272,0.679940,0.420000
-0.695272,0.681255,0.430000
-0.695272,0.682571,0.440000
-0.695272,0.683886,0.450000
-0.695272,0.685201,0.460000
-0.695272,0.686517,0.470000
-0.695272,0.687832,0.480000
-0.695272,0.689147,0.490000
-0.695272,0.690463,0.500000
-0.695272,0.691778,0.510000
-0.695272,0.693093,0.520000
-0.695272,0.694409,0.530000
-0.695272,0.695724,0.540000
-0.695272,0.697039,0.550000
-0.695272,0.698355,0.560000
-0.695271,0.699670,0.570000
-0.695271,0.700985,0.580000
-0.695271,0.702301,0.590000
-0.695271,0.703616,0.600000
-0.695271,0.704932,0.610000
-0.695271,0.706247,0.620000
-0.695271,0.707562,0.630000
-0.695271,0.708878,0.640000
-0.695271,0.710193,0.650000
-0.695271,0.711508,0.660000
-0.695271,0.712824,0.670000
-0.695271,0.714139,0.680000
-0.695271,0.715454,0.690000
-0.695271,0.716770,0.700000
-0.695271,0.718085,0.710000
-0.694625,0.718750,0.720000
-0.693311,0.718706,0.730000
-0.691996,0.718662,0.740000
-0.690681,0.718619,0.750000
-0.689367,0.718575,0.760000
-0.688052,0.718531,0.770000
-0.686737,0.718488,0.780000
-0.685423,0.718444,0.790000
-0.684108,0.718401,0.800000
-0.682793,0.718357,0.810000
-0.681479,0.718313,0.820000
-0.680164,0.718270,0.830000
-0.678850,0.718226,0.839999
-0.677535,0.718182,0.849999
-0.676220,0.718139,0.859999
-0.674906,0.718095,0.869999
-0.673591,0.718052,0.879999
-0.672276,0.718008,0.889999
-0.670962,0.717964,0.899999
-0.669647,0.717921,0.909999
-0.668332,0.717877,0.919999
-0.667018,0.717833,0.929999
-0.665703,0.717790,0.939999
-0.664388,0.717746,0.949999
-0.663074,0.717703,0.959999
-0.661759,0.717659,0.969999
-0.660445,0.717615,0.979999
-0.659130,0.717572,0.989999
-0.657815,0.717528,0.999999
-0.656501,0.717484,1.009999
-0.655186,0.717441,1.019999
-0.653871,0.717397,1.029999
-0.652557,0.717353,1.039999
-0.651242,0.717310,1.049999
-0.649927,0.717266,1.059999
-0.648613,0.717223,1.069999
-0.647298,0.717179,1.079999
-0.645984,0.717135,1.089999
-0.644669,0.717092,1.099999
-0.643354,0.717048,1.109999
-0.642040,0.717004,1.119999
-0.640725,0.716961,1.129999
-0.639410,0.716917,1.139999
-0.638096,0.716874,1.149999
-0.636781,0.716830,1.159999
-0.635466,0.716786,1.169999
-0.634152,0.716743,1.179999
-0.632837,0.716699,1.189999
-0.631522,0.716655,1.199999
-0.630208,0.716612,1.209999
-0.628893,0.716568,1.219999
-0.627579,0.716524,1.229999
-0.626264,0.716481,1.239999
-0.624949,0.716437,1.249999
-0.623635,0.716394,1.259999
-0.622320,0.716350,1.269999
-0.621005,0.716306,1.279999
-0.619691,0.716263,1.289999
-0.618376,0.716219,1.299999
-0.617061,0.716175,1.309999
-0.615747,0.716132,1.319999
-0.614432,0.716088,1.329999
-0.613118,0.716045,1.339999
-0.611803,0.716001,1.349999
-0.610488,0.715957,1.359999
-0.609174,0.715914,1.369999
-0.607859,0.715870,1.379999
-0.606544,0.715826,1.389999
-0.605230,0.715783,1.399999
-0.603915,0.715739,1.409999
-0.602600,0.715696,1.419999
-0.601286,0.715652,1.429999
-0.599971,0.715608,1.439999
-0.598656,0.715565,1.449999
-0.597342,0.715521,1.459999
-0.596027,0.715477,1.469999
-0.594713,0.715434,1.479999
-0.593398,0.715390,1.489999
-0.592083,0.715346,1.499999
-0.590769,0.715303,1.509999
-0.589454,0.715259,1.519999
-0.588139,0.715216,1.529999
-0.586825,0.715172,1.539999
-0.585510,0.715128,1.549999
-0.584195,0.715085,1.559999
-0.582881,0.715041,1.569999
-0.581566,0.714997,1.579999
-0.580252,0.714954,1.589999
-0.578937,0.714910,1.599999
-0.577622,0.714867,1.609999
-0.576308,0.714823,1.619999
-0.574993,0.714779,1.629999
-0.573678,0.714736,1.639999
-0.572364,0.714692,1.649999
-0.571049,0.714648,1.659999
-0.569734,0.714605,1.669999
-0.568420,0.714561,1.679999
-0.567105,0.714517,1.689999
-0.565790,0.714474,1.699999
-0.564476,0.714430,1.709999
-0.563161,0.714387,1.719999
-0.561847,0.714343,1.729999
-0.560532,0.714299,1.739999
-0.559217,0.714256,1.749999
-0.557903,0.714212,1.759999
-0.556588,0.714168,1.769999
-0.555273,0.714125,1.779999
-0.553959,0.714081,1.789999
-0.552644,0.714038,1.799999
-0.551329,0.713994,1.809999
-0.550015,0.713950,1.819999
-0.548700,0.713907,1.829999
-0.547386,0.713863,1.839999
-0.546071,0.713819,1.849999
-0.544756,0.713776,1.859999
-0.543442,0.713732,1.869999
-0.542127,0.713688,1.879999
-0.540812,0.713645,1.889999
-0.539498,0.713601,1.899999
-0.538183,0.713558,1.909999
-0.536868,0.713514,1.919999
-0.535554,0.713470,1.929999
-0.534239,0.713427,1.939999
-0.532924,0.713383,1.949998
-0.531610,0.713339,1.959998
-0.530295,0.713296,1.969998
-0.528981,0.713252,1.979998
-0.527666,0.713209,1.989998
-0.526351,0.713165,1.999998
-0.525037,0.713121,2.009999
-0.523722,0.713078,2.019999
-0.522407,0.713034,2.029999
-0.521093,0.712990,2.039999
-0.519778,0.712947,2.049999
-0.518463,0.712903,2.059999
-0.517149,0.712860,2.069999
-0.515834,0.712816,2.079998
-0.514520,0.712772,2.089998
-0.513205,0.712729,2.099998
-0.511890,0.712685,2.109998
-0.510576,0.712641,2.119998
-0.509261,0.712598,2.129998
-0.507946,0.712554,2.139998
-0.506632,0.712510,2.149998
-0.505317,0.712467,2.159998
-0.504002,0.712423,2.169998
-0.502688,0.712380,2.179998
-0.501373,0.712336,2.189998
-0.500058,0.712292,2.199998
-0.498744,0.712249,2.209998
-0.497429,0.712205,2.219998
-0.496115,0.712161,2.229998
-0.494800,0.712118,2.239998
-0.493485,0.712074,2.249998
-0.492171,0.712031,2.259998
-0.490856,0.711987,2.269998
-0.489541,0.711943,2.279998
-0.488227,0.711900,2.289998
-0.486912,0.711856,2.299998
-0.485597,0.711812,2.309998
-0.484283,0.711769,2.319998
-0.482968,0.711725,2.329998
-0.481654,0.711681,2.339998
-0.480339,0.711638,2.349998
-0.479024,0.711594,2.359998
-0.477710,0.711551,2.369998
-0.476395,0.711507,2.379998
-0.475080,0.711463,2.389998
-0.473766,0.711420,2.399998
-0.472451,0.711376,2.409998
-0.471136,0.711332,2.419998
-0.469822,0.711289,2.429998
-0.468507,0.711245,2.439998
-0.467192,0.711202,2.449998
-0.465878,0.711158,2.459998
-0.464563,0.711114,2.469998
-0.463249,0.711071,2.479998
-0.461934,0.711027,2.489998
-0.460619,0.710983,2.499998
-0.459305,0.710940,2.509998
-0.457990,0.710896,2.519998
