x,y,t
0.252987,-0.453642,0.000000
0.252987,-0.452327,0.010000
0.252987,-0.451011,0.020000
0.252987,-0.449696,0.030000
0.252987,-0.448380,0.040000
0.252987,-0.447065,0.050000
0.252988,-0.445750,0.060000
0.252988,-0.444434,0.070000
0.252988,-0.443119,0.080000
0.252988,-0.441803,0.090000
0.252988,-0.440488,0.100000
0.252988,-0.439173,0.110000
0.252988,-0.437857,0.120000
0.252988,-0.436542,0.130000
0.252988,-0.435227,0.140000
0.252988,-0.433911,0.150000
0.252988,-0.432596,0.160000
0.252989,-0.431280,0.170000
0.252989,-0.429965,0.180000
0.252989,-0.428650,0.190000
0.252989,-0.427334,0.200000
0.252989,-0.426019,0.210000
0.252989,-0.424703,0.220000
0.252989,-0.423388,0.230000
0.252989,-0.422073,0.240000
0.252989,-0.420757,0.250000
0.252989,-0.419442,0.260000
0.252989,-0.418126,0.270000
0.252990,-0.416811,0.280000
0.252990,-0.415496,0.290000
0.252990,-0.414180,0.300000
0.252990,-0.412865,0.310000
0.252990,-0.411550,0.320000
0.252990,-0.410234,0.330000
0.252990,-0.408919,0.340000
0.252990,-0.407603,0.350000
0.252990,-0.406288,0.360000
0.252990,-0.404973,0.370000
0.252990,-0.403657,0.380000
0.252990,-0.402342,0.390000
0.252991,-0.401026,0.400000
0.252991,-0.399711,0.410000
0.252991,-0.398396,0.420000
0.252991,-0.397080,0.430000
0.252991,-0.395765,0.440000
0.252991,-0.394450,0.450000
0.252991,-0.393134,0.460000
0.252991,-0.391819,0.470000
0.252991,-0.390503,0.480000
0.252991,-0.389188,0.490000
0.252991,-0.387873,0.500000
0.252992,-0.386557,0.510000
0.252992,-0.385242,0.520000
0.252992,-0.383926,0.530000
0.252992,-0.382611,0.540000
0.252992,-0.381296,0.550000
0.252992,-0.379980,0.560000
0.252992,-0.378665,0.570000
0.252992,-0.377350,0.580000
0.252992,-0.376034,0.590000
0.252992,-0.374719,0.600000
0.252992,-0.373403,0.610000
0.252993,-0.372088,0.620000
0.252993,-0.370773,0.630000
0.252993,-0.369457,0.640000
0.252993,-0.368142,0.650000
0.252993,-0.366826,0.660000
0.252993,-0.365511,0.670000
0.252993,-0.364196,0.680000
0.252993,-0.362880,0.690000
0.252993,-0.361565,0.700000
0.252993,-0.360250,0.710000
0.252993,-0.358934,0.720000
0.252994,-0.357619,0.730000
0.252994,-0.356303,0.740000
0.252994,-0.354988,0.750000
0.252994,-0.353673,0.760000
0.252994,-0.352357,0.770000
0.252994,-0.351042,0.780000
0.252994,-0.349726,0.790000
0.252994,-0.348411,0.800000
0.252994,-0.347096,0.810000
0.252994,-0.345780,0.820000
0.252994,-0.344465,0.830000
0.252995,-0.343150,0.839999
0.252995,-0.341834,0.849999
0.252995,-0.340519,0.859999
0.252995,-0.339203,0.869999
0.252995,-0.337888,0.879999
0.252995,-0.336573,0.889999
0.252995,-0.335257,0.899999
0.252995,-0.333942,0.909999
0.252995,-0.332626,0.919999
0.252995,-0.331311,0.929999
0.252995,-0.329996,0.939999
0.252995,-0.328680,0.949999
0.252996,-0.327365,0.959999
0.252996,-0.326050,0.969999
0.252996,-0.324734,0.979999
0.252996,-0.323419,0.989999
0.252996,-0.322103,0.999999
0.252996,-0.320788,1.009999
0.252996,-0.319473,1.019999
0.252996,-0.318157,1.029999
0.252996,-0.316842,1.039999
0.252996,-0.315526,1.049999
0.252996,-0.314211,1.059999
0.252997,-0.312896,1.069999
0.252997,-0.311580,1.079999
0.252997,-0.310265,1.089999
