x,y,t
0.825583,0.077782,0.000000
0.831000,0.083010,0.010000
0.836417,0.088238,0.020000
0.841834,0.093466,0.030000
0.847251,0.098694,0.040000
0.852668,0.103922,0.050000
0.858085,0.109150,0.060000
0.863503,0.114378,0.070000
0.868920,0.119606,0.080000
0.874337,0.124835,0.090000
0.879754,0.130063,0.100000
0.885171,0.135291,0.110000
0.890588,0.140519,0.120000
0.896005,0.145747,0.130000
0.901422,0.150975,0.140000
0.906839,0.156203,0.150000
0.912256,0.161431,0.160000
0.917674,0.166659,0.170000
0.923091,0.171887,0.180000
0.928508,0.177115,0.190000
0.933925,0.182343,0.200000
0.939342,0.187571,0.210000
0.944759,0.192800,0.220000
0.950176,0.198028,0.230000
0.955593,0.203256,0.240000
0.961010,0.208484,0.250000
0.966428,0.213712,0.260000
0.971845,0.218940,0.270000
0.972165,0.223047,0.280000
0.965019,0.225414,0.290000
0.957872,0.227781,0.300000
0.950725,0.230147,0.310000
0.943578,0.232514,0.320000
0.936432,0.234881,0.330000
0.929285,0.237247,0.340000
0.922138,0.239614,0.350000
0.914991,0.241981,0.360000
0.907844,0.244347,0.370000
0.900698,0.246714,0.380000
0.893551,0.249081,0.390000
0.886404,0.251447,0.400000
0.879257,0.253814,0.410000
0.872111,0.256181,0.420000
0.864964,0.258547,0.430000
0.857817,0.260914,0.440000
0.850670,0.263281,0.450000
0.843523,0.265647,0.460000
0.836377,0.268014,0.470000
0.829230,0.270381,0.480000
0.822083,0.272747,0.490000
0.814936,0.275114,0.500000
0.807790,0.277481,0.510000
0.800643,0.279847,0.520000
0.793496,0.282214,0.530000
0.786349,0.284581,0.540000
0.779202,0.286947,0.550000
0.772056,0.289314,0.560000
0.764909,0.291681,0.570000
0.757762,0.294047,0.580000
0.750615,0.296414,0.590000
0.743469,0.298781,0.600000
0.736322,0.301147,0.610000
0.729175,0.303514,0.620000
0.722028,0.305881,0.630000
0.714881,0.308247,0.640000
0.707735,0.310614,0.650000
0.700588,0.312981,0.660000
0.693441,0.315347,0.670000
0.686294,0.317714,0.680000
0.679148,0.320081,0.690000
0.672001,0.322447,0.700000
0.664854,0.324814,0.710000
0.657707,0.327181,0.720000
0.650560,0.329547,0.730000
0.643414,0.331914,0.740000
0.636267,0.334281,0.750000
0.629120,0.336647,0.760000
0.621973,0.339014,0.770000
0.614827,0.341381,0.780000
0.607680,0.343747,0.790000
0.600533,0.346114,0.800000
0.593386,0.348481,0.810000
0.586240,0.350847,0.820000
0.579093,0.353214,0.830000
0.571946,0.355581,0.839999
0.564799,0.357947,0.849999
0.557652,0.360314,0.859999
0.550506,0.362681,0.869999
0.543359,0.365047,0.879999
0.536212,0.367414,0.889999
0.529065,0.369781,0.899999
0.521919,0.372147,0.909999
0.514772,0.374514,0.919999
0.507625,0.376881,0.929999
0.500478,0.379247,0.939999
0.493331,0.381614,0.949999
0.486185,0.383981,0.959999
0.479038,0.386347,0.969999
0.471891,0.388714,0.979999
0.464744,0.391081,0.989999
0.457597,0.393447,0.999999
0.450451,0.395814,1.009999
0.443304,0.398181,1.019999
0.436157,0.400547,1.029999
0.429010,0.402914,1.039999
0.421863,0.405281,1.049999
0.414717,0.407647,1.059999
0.407570,0.410014,1.069999
0.400423,0.412380,1.079999
0.393276,0.414747,1.089999
0.386129,0.417114,1.099999
0.378983,0.419480,1.109999
0.371836,0.421847,1.119999
0.364689,0.424214,1.129999
0.357542,0.426580,1.139999
0.350395,0.428947,1.149999
0.343248,0.431314,1.159999
0.336102,0.433680,1.169999
0.328955,0.436047,1.179999
0.321808,0.438414,1.189999
0.314661,0.440780,1.199999
0.307514,0.443147,1.209999
0.300368,0.445514,1.219999
0.293221,0.447880,1.229999
0.286074,0.450247,1.239999
0.278927,0.452614,1.249999
0.271780,0.454980,1.259999
0.264634,0.457347,1.269999
0.257487,0.459714,1.279999
0.250340,0.462080,1.289999
0.243193,0.464447,1.299999
0.236046,0.466814,1.309999
0.228900,0.469180,1.319999
0.221753,0.471547,1.329999
0.214606,0.473914,1.339999
0.207459,0.476280,1.349999
0.200312,0.478647,1.359999
0.193166,0.481014,1.369999
0.186019,0.483380,1.379999
0.178872,0.485747,1.389999
0.171725,0.488114,1.399999
0.164579,0.490480,1.409999
0.157432,0.492847,1.419999
0.150285,0.495214,1.429999
0.143138,0.497580,1.439999
0.135991,0.499947,1.449999
0.128845,0.502314,1.459999
0.121698,0.504680,1.469999
0.114551,0.507047,1.479999
0.107404,0.509414,1.489999
0.100257,0.511780,1.499999
0.093111,0.514147,1.509999
0.085964,0.516514,1.519999
0.078817,0.518880,1.529999
0.071670,0.521247,1.539999
0.064523,0.523614,1.549999
0.057377,0.525980,1.559999
0.050230,0.528347,1.569999
0.043083,0.530714,1.579999
0.035936,0.533080,1.589999
0.028789,0.535447,1.599999
0.021643,0.537814,1.609999
0.014496,0.540180,1.619999
0.007349,0.542547,1.629999
0.000202,0.544914,1.639999
-0.006944,0.547280,1.649999
-0.014091,0.549647,1.659999
-0.021238,0.552014,1.669999
-0.028385,0.554380,1.679999
-0.035532,0.556747,1.689999
