x,y,t
0.470000,0.000000,0.000000
0.469998,0.000820,0.000100
0.469995,0.001640,0.000200
0.469989,0.002460,0.000300
0.469982,0.003280,0.000400
0.469973,0.004100,0.000500
0.469962,0.004920,0.000600
0.469949,0.005740,0.000700
0.469934,0.006560,0.000800
0.469918,0.007380,0.000900
0.469900,0.008199,0.001000
0.469880,0.009019,0.001100
0.469858,0.009839,0.001200
0.469834,0.010659,0.001300
0.469808,0.011479,0.001400
0.469781,0.012298,0.001500
0.469752,0.013118,0.001600
0.469721,0.013937,0.001700
0.469688,0.014757,0.001800
0.469653,0.015576,0.001900
0.469617,0.016396,0.002000
0.469578,0.017215,0.002100
0.469538,0.018034,0.002200
0.469496,0.018854,0.002300
0.469453,0.019673,0.002400
0.469407,0.020492,0.002500
0.469359,0.021311,0.002600
0.469310,0.022130,0.002700
0.469259,0.022948,0.002800
0.469206,0.023767,0.002900
0.469151,0.024586,0.003000
0.469095,0.025404,0.003100
0.469036,0.026223,0.003200
0.468976,0.027041,0.003300
0.468914,0.027859,0.003400
0.468850,0.028677,0.003500
0.468785,0.029495,0.003600
0.468717,0.030313,0.003700
0.468648,0.031131,0.003800
0.468577,0.031949,0.003900
0.468504,0.032766,0.004000
0.468429,0.033583,0.004100
0.468352,0.034401,0.004200
0.468274,0.035218,0.004300
0.468193,0.036035,0.004400
0.468111,0.036852,0.004500
0.468027,0.037668,0.004600
0.467942,0.038485,0.004700
0.467854,0.039301,0.004800
0.467765,0.040118,0.004900
0.467673,0.040934,0.005000
0.467580,0.041750,0.005100
0.467486,0.042565,0.005200
0.467389,0.043381,0.005300
0.467290,0.044196,0.005400
0.467190,0.045012,0.005500
0.467088,0.045827,0.005600
0.466984,0.046642,0.005700
0.466878,0.047456,0.005800
0.466770,0.048271,0.005900
0.466661,0.049085,0.006000
0.466550,0.049899,0.006100
0.466437,0.050713,0.006200
0.466322,0.051527,0.006300
0.466205,0.052341,0.006400
0.466087,0.053154,0.006500
0.465966,0.053967,0.006600
0.465844,0.054780,0.006700
0.465720,0.055593,0.006800
0.465594,0.056405,0.006900
0.465467,0.057218,0.007000
0.465337,0.058030,0.007100
0.465206,0.058842,0.007200
0.465073,0.059653,0.007300
0.464938,0.060465,0.007400
0.464801,0.061276,0.007500
0.464662,0.062087,0.007600
0.464522,0.062897,0.007700
0.464380,0.063708,0.007800
0.464236,0.064518,0.007900
0.464090,0.065328,0.008000
0.463942,0.066138,0.008100
0.463793,0.066947,0.008200
0.463642,0.067756,0.008300
0.463489,0.068565,0.008400
0.463334,0.069374,0.008500
0.463177,0.070182,0.008600
0.463018,0.070990,0.008700
0.462858,0.071798,0.008800
0.462696,0.072605,0.008900
0.462532,0.073412,0.009000
0.462366,0.074219,0.009100
0.462198,0.075026,0.009200
0.462029,0.075832,0.009300
0.461858,0.076638,0.009400
0.461685,0.077444,0.009500
0.461510,0.078250,0.009600
0.461333,0.079055,0.009700
0.461155,0.079859,0.009800
0.460974,0.080664,0.009900
0.460792,0.081468,0.010000
0.460608,0.082272,0.010100
0.460422,0.083076,0.010200
0.460235,0.083879,0.010300
0.460045,0.084682,0.010400
0.459854,0.085484,0.010500
0.459661,0.086286,0.010600
0.459466,0.087088,0.010700
0.459270,0.087890,0.010800
0.459071,0.088691,0.010900
0.458871,0.089492,0.011000
0.458669,0.090292,0.011100
0.458465,0.091092,0.011200
0.458259,0.091892,0.011300
0.458052,0.092692,0.011400
0.457842,0.093491,0.011500
0.457631,0.094289,0.011600
0.457418,0.095088,0.011700
0.457204,0.095885,0.011800
0.456987,0.096683,0.011900
0.456769,0.097480,0.012000
0.456549,0.098277,0.012100
0.456327,0.099073,0.012200
0.456103,0.099869,0.012300
0.455877,0.100665,0.012400
0.455650,0.101460,0.012500
0.455421,0.102255,0.012600
0.455190,0.103049,0.012700
0.454957,0.103843,0.012800
0.454722,0.104637,0.012900
0.454486,0.105430,0.013000
0.454247,0.106223,0.013100
0.454007,0.107015,0.013200
0.453766,0.107807,0.013300
0.453522,0.108598,0.013400
0.453276,0.109389,0.013500
0.453029,0.110180,0.013600
0.452780,0.110970,0.013700
0.452529,0.111760,0.013800
0.452277,0.112549,0.013900
0.452022,0.113338,0.014000
0.451766,0.114126,0.014100
0.451508,0.114914,0.014200
0.451248,0.115702,0.014300
0.450986,0.116489,0.014400
0.450723,0.117275,0.014500
0.450458,0.118061,0.014600
0.450191,0.118847,0.014700
0.449922,0.119632,0.014800
0.449651,0.120416,0.014900
0.449379,0.121201,0.015000
0.449104,0.121984,0.015100
0.448828,0.122767,0.015200
0.448550,0.123550,0.015300
0.448271,0.124332,0.015400
0.447989,0.125114,0.015500
0.447706,0.125895,0.015600
0.447421,0.126676,0.015700
0.447134,0.127456,0.015800
0.446846,0.128236,0.015900
0.446555,0.129015,0.016000
0.446263,0.129793,0.016100
0.445969,0.130572,0.016200
0.445673,0.131349,0.016300
0.445376,0.132126,0.016400
0.445076,0.132903,0.016500
0.444775,0.133679,0.016600
0.444472,0.134454,0.016700
0.444168,0.135229,0.016800
0.443861,0.136003,0.016900
0.443553,0.136777,0.017000
0.443243,0.137551,0.017100
0.442931,0.138323,0.017200
0.442617,0.139095,0.017300
0.442302,0.139867,0.017400
0.441984,0.140638,0.017500
0.441665,0.141408,0.017600
0.441345,0.142178,0.017700
0.441022,0.142948,0.017800
0.440698,0.143716,0.017900
0.440371,0.144485,0.018000
0.440043,0.145252,0.018100
0.439714,0.146019,0.018200
0.439382,0.146785,0.018300
0.439049,0.147551,0.018400
0.438714,0.148316,0.018500
0.438377,0.149081,0.018600
0.438038,0.149845,0.018700
0.437698,0.150608,0.018800
0.437355,0.151371,0.018900
0.437011,0.152133,0.019000
0.436666,0.152895,0.019100
